RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
4155703,2017,1976,2023,PRIVATE,20,Scarborough Southwest,45 PARKCREST DR,8,92,2023-09-06,98,98,0,45,3,3,3,3,3,2,3,3,N/A,3,N/A,N/A,3,3,3,3,3,3,3,3,3,N/A,N/A,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2027,43.736752064,-79.2186571,327390.438,4843831.657
4152577,2017,1959,2023,PRIVATE,20,Scarborough Southwest,25 PARKETTE PL,5,61,2023-10-11,93,93,0,43,3,3,3,3,3,2,2,2,3,2,N/A,N/A,3,3,3,3,3,N/A,2,3,3,N/A,N/A,3,3,N/A,3,3,2,3,2,3,3,N/A,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,E2034,43.6960744656,-79.2646078047,323758.577,4839373.228
4152577,2017,1959,2025,PRIVATE,20,Scarborough Southwest,25 PARKETTE PL,5,61,2025-10-06,93,93,0,43,3,3,3,3,3,2,2,2,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,3,3,3,3,2,3,3,N/A,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2034,43.6960744656,-79.2646078047,323758.577,4839373.228
4153054,2017,1990,2023,SOCIAL HOUSING,04,Parkdale-High Park,515 PARKSIDE DR,6,75,2023-06-23,96,96,0,44,3,3,3,N/A,3,2,3,3,N/A,2,N/A,N/A,3,3,3,3,2,3,3,3,N/A,N/A,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,S0432,43.654209663,-79.459398889,308059.191,4834697.288
4153054,2017,1990,2025,SOCIAL HOUSING,04,Parkdale-High Park,515 PARKSIDE DR,6,75,2025-08-15,99,99,0,44,3,3,3,N/A,3,2,3,3,N/A,3,N/A,N/A,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S0432,43.654209663,-79.459398889,308059.191,4834697.288
4154814,2017,1972,2024,PRIVATE,17,Don Valley North,25 PARKWAY FOREST DR,17,300,2024-08-27,90,90,0,46,3,3,2,2,3,2,3,1,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,2,N/A,3,2,3,2,3,3,2,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N1730,43.769238615,-79.34165702,317532.252,4847487.714
4156727,2017,1967,2024,PRIVATE,17,Don Valley North,100 PARKWAY FOREST DR,17,216,2024-09-16,90,90,0,46,3,3,3,2,3,3,3,1,3,3,N/A,N/A,3,3,3,3,2,N/A,3,3,2,N/A,3,2,3,2,3,3,1,3,3,3,3,2,1,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,N1730,43.773329003,-79.341901346,317511.715,4847942.106
4232788,2017,2015,2023,PRIVATE,17,Don Valley North,106 PARKWAY FOREST DR,7,95,2023-07-30,97,97,0,44,3,3,N/A,N/A,3,3,3,3,2,3,N/A,N/A,3,3,3,3,N/A,3,3,3,3,N/A,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,N1730,43.774094874,-79.341793943,317512.069,4848026.048
4232788,2017,2015,2025,PRIVATE,17,Don Valley North,106 PARKWAY FOREST DR,7,95,2025-07-19,99,99,0,43,3,3,3,N/A,3,3,3,3,N/A,3,N/A,N/A,3,3,3,3,N/A,3,3,3,N/A,N/A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1730,43.774094874,-79.341793943,317512.069,4848026.048
4154813,2017,1967,2023,PRIVATE,17,Don Valley North,110 PARKWAY FOREST DR,17,216,2023-07-21,92,92,0,45,3,3,1,N/A,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,2,N/A,3,3,N/A,3,1,3,2,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,N1730,43.774127291,-79.342941947,317427.784,4848030.635
