RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
4154744,2017,1968,2024,PRIVATE,18,Willowdale,2818 BAYVIEW AVE,3,20,2024-09-30,72,72,0,38,2,2,N/A,N/A,3,1,1,2,3,2,N/A,N/A,1,3,2,2,2,N/A,2,2,N/A,N/A,N/A,2,3,N/A,N/A,N/A,1,2,3,2,N/A,1,2,2,2,3,3,3,2,3,3,3,3,1,3,1,3,3,N1828,43.7657782608,-79.3883472184,313774.078,4847096.221
4228864,2017,1964,2024,PRIVATE,17,Don Valley North,2911 BAYVIEW AVE,3,304,2024-09-24,93,93,0,44,3,3,2,2,3,3,3,1,3,2,N/A,N/A,3,3,3,3,3,N/A,N/A,3,N/A,N/A,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,N1725,43.7705466002,-79.3863327506,313935.534,4847626.159
4156323,2017,1971,2024,PRIVATE,17,Don Valley North,4001 BAYVIEW AVE,12,234,2024-09-19,93,94,-1,46,3,2,2,3,3,3,N/A,1,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,N1721,43.8013167898,-79.3922896323,313197.147,4851099.932
4155674,2017,1971,2023,PRIVATE,17,Don Valley North,4003 BAYVIEW AVE,12,172,2023-09-17,97,97,0,48,3,3,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,N1721,43.8022250044,-79.3928562051,313191.076,4851131.715
4155674,2017,1971,2025,PRIVATE,17,Don Valley North,4003 BAYVIEW AVE,12,172,2025-08-01,99,99,0,46,3,3,3,N/A,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1721,43.8022250044,-79.3928562051,313191.076,4851131.715
4155675,2017,1971,2024,PRIVATE,17,Don Valley North,4005 BAYVIEW AVE,12,235,2024-06-24,97,97,0,49,3,3,3,3,3,2,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,N1721,43.8026375756,-79.3940419226,313187.202,4851155.247
4153145,2017,1932,2023,PRIVATE,09,Davenport,10 BEACONSFIELD AVE,4,11,2023-11-13,90,90,0,34,3,3,2,N/A,N/A,3,N/A,2,3,3,N/A,N/A,3,3,2,2,3,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,2,N/A,N/A,N/A,2,2,3,3,2,3,3,3,3,3,3,1,3,3,3,3,S0937,43.643424173,-79.425313227,310809.709,4833500.853
4153145,2017,1932,2025,PRIVATE,09,Davenport,10 BEACONSFIELD AVE,4,11,2025-07-11,91,91,0,38,3,3,3,N/A,3,3,3,3,N/A,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,N/A,3,1,N/A,N/A,3,1,3,3,3,N/A,3,1,3,1,2,3,3,3,3,3,3,3,3,3,3,3,S0937,43.643424173,-79.425313227,310809.709,4833500.853
4154026,2017,1960,2023,PRIVATE,08,Eglinton-Lawrence,15 BEDFORD PARK AVE,3,39,2023-07-27,95,95,0,39,3,3,N/A,N/A,3,2,3,3,2,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,N0825,43.7269710792,-79.4040459316,312515.092,4842783.43
4154026,2017,1960,2025,PRIVATE,08,Eglinton-Lawrence,15 BEDFORD PARK AVE,3,39,2025-07-09,99,99,0,41,3,3,N/A,N/A,3,3,3,3,3,3,N/A,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N0825,43.7269710792,-79.4040459316,312515.092,4842783.43
4153199,2017,2004,2024,PRIVATE,11,University-Rosedale,25 BEDFORD RD,8,62,2024-09-11,87,87,0,42,3,3,3,2,3,2,3,3,2,2,N/A,N/A,3,3,2,3,3,N/A,3,3,N/A,N/A,N/A,1,3,N/A,3,3,2,3,3,3,3,N/A,2,2,3,3,3,3,3,3,3,2,3,3,1,1,1,3,S1127,43.670003806,-79.397710763,313032.908,4836456.077
5365987,2023,1924,2024,PRIVATE,19,Beaches-East York,85 BEECH AVE,3,12,2024-09-25,91,91,0,37,3,3,N/A,3,3,2,3,2,3,2,N/A,N/A,3,3,3,2,N/A,N/A,3,2,N/A,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,2,2,3, 3,2,3,3,3,3,3,3,1,3,3,3,3,S1940,43.67308603,-79.287426652,321925.491,4836815.325
5364569,2024,1971,2024,PRIVATE,19,Beaches-East York,109 BEECH AVE,3,18,2024-07-24,77,77,0,37,2,3,3,N/A,3,2,N/A,3,N/A,2,N/A,N/A,3,1,2,2,2,N/A,3,2,N/A,N/A,N/A,2,3,N/A,N/A,N/A,2,2,3,3,3,N/A,2,2,3,3,2,3,2,3,1,1,2,2,1,1,1,3,S1940,43.673706805,-79.287609307,321910.587,4836884.252
4155687,2017,2003,2025,PRIVATE,18,Willowdale,151 BEECROFT RD,27,306,2025-08-22,97,97,0,46,3,3,3,N/A,3,3,3,3,3,3,N/A,N/A,3,1,3,3,3,3,3,3,3,N/A,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1824,43.764987893,-79.413972559,311688.077,4847006.801
4155687,2017,2003,2023,PRIVATE,18,Willowdale,151 BEECROFT RD,27,306,2023-08-03,99,99,0,46,3,3,3,N/A,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,3,N/A,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,N1824,43.764987893,-79.413972559,311688.077,4847006.801
4152768,2017,1964,2023,PRIVATE,21,Scarborough Centre,123 BELLAMY RD N,12,250,2023-06-19,77,77,0,43,3,1,N/A,N/A,3,3,3,3,1,3,N/A,N/A,3,3,1,2,2,N/A,3,1,1,N/A,N/A,3,3,2,3,3,1,1,2,1,3,3,1,1,3,3,3,3,2,3,3,3,3,3,1,1,3,3,E2136,43.7414399001,-79.231653804,326398.571,4844421.149
4152768,2017,1964,2025,PRIVATE,21,Scarborough Centre,123 BELLAMY RD N,12,250,2025-08-27,96,96,0,44,3,3,3,3,3,2,3,3,3,3,N/A,N/A,3,2,3,3,3,N/A,N/A,3,3,N/A,N/A,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,E2136,43.7414399001,-79.231653804,326398.571,4844421.149
4152771,2017,1971,2024,PRIVATE,21,Scarborough Centre,126 BELLAMY RD N,16,253,2024-09-30,79,80,-1,48,3,2,2,3,3,2,2,2,3,2,3,N/A,3,3,2,2,3,2,3,2,2,N/A,3,2,1,2,3,2,1,2,3,3,3,2,2,3,3,3,3,3,3,2,2,2,3,2,1,1,1,3,E2136,43.7424264798,-79.2319698725,326372.763,4844530.667
4153417,2017,1885,2025,SOCIAL HOUSING,11,University-Rosedale,87 BELLEVUE AVE,3,28,2025-09-22,76,76,0,40,3,2,1,N/A,3,1,3,2,2,1,N/A,N/A,3,3,2,1,1,N/A,3,2,N/A,N/A,1,N/A,3,1,N/A,N/A,1,2,2,1,3,N/A,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,S1143,43.656179273,-79.40360132,312559.687,4834919.685
4153417,2017,1885,2023,SOCIAL HOUSING,11,University-Rosedale,87 BELLEVUE AVE,3,28,2023-08-14,92,92,0,43,3,3,2,2,3,3,N/A,3,2,3,N/A,N/A,3,3,3,2,2,N/A,3,3,N/A,N/A,3,N/A,3,2,3,2,2,3,3,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,S1143,43.656179273,-79.40360132,312559.687,4834919.685
4153418,2018,1988,2024,PRIVATE,11,University-Rosedale,99 BELLEVUE AVE,4,16,2024-09-26,69,69,0,38,3,3,1,N/A,3,1,3,3,N/A,1,N/A,N/A,2,1,3,3,0,N/A,3,3,N/A,N/A,N/A,1,3,2,N/A,N/A,1,3,3,N/A,2,N/A,1,3,3,3,3,1,3,3,0,0,0,0,0,0,0,0,S1143,43.656693312,-79.403904864,312535.134,4834976.766
4155873,2017,1971,2023,TCHC,05,York South-Weston,5 BELLEVUE CRES,22,326,2023-07-21,76,76,0,44,3,2,3,N/A,3,2,2,1,3,2,N/A,N/A,3,3,2,2,2,N/A,3,2,N/A,N/A, 2,2,0,2,3,2,1,1,3,1,3,3,1,1,3,3,2,2,1,3,3,3,3,3,3,3,3,3,W0527,43.6991400934,-79.5152292852,303556.925,4839687.3
4153708,2017,1960,2023,PRIVATE,19,Beaches-East York,5 BENLAMOND AVE,5,55,2023-08-16,88,88,0,41,3,3,2,3,3,3,N/A,3,3,3,N/A,3,3,1,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,3,2,3,2,3,N/A,3,3,3,3,3,3,2,3,1,1,1,3,1,1,3,1,S1935,43.680371012,-79.299397904,320958.234,4837622.283
4153708,2017,1960,2025,PRIVATE,19,Beaches-East York,5 BENLAMOND AVE,5,55,2025-08-21,93,93,0,43,3,3,3,3,3,2,3,2,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,3,3,3,2,3,3,3,N/A,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,S1935,43.680371012,-79.299397904,320958.234,4837622.283
4156355,2017,1960,2024,PRIVATE,01,Etobicoke North,9 BERGAMOT AVE,4,73,2024-09-09,91,91,0,44,3,3,3,3,3,2,3,2,1,3,N/A,N/A,3,3,3,3,2,N/A,3,3,N/A,N/A,N/A,3,3,1,3,3,2,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,W0130,43.714616652,-79.558696849,300054.31,4841409.213
4156450,2017,1960,2025,PRIVATE,01,Etobicoke North,11 BERGAMOT AVE,7,130,2025-07-22,87,87,0,46,3,2,1,3,3,1,3,1,2,2,N/A,N/A,3,3,3,3,3,N/A,3,3,1,N/A,3,1,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,2,3,3,3,3,3,3,3,3,3,W0130,43.714919516,-79.55750237,300150.586,4841442.799
4156450,2017,1960,2023,PRIVATE,01,Etobicoke North,11 BERGAMOT AVE,7,130,2023-07-07,90,90,0,43,3,3,N/A,3,3,3,3,3,2,2,N/A,N/A,3,3,3,3,2,N/A,3,3,N/A,N/A,N/A,2,1,3,3,2,2,3,3,3,3,2,2,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,W0130,43.714919516,-79.55750237,300150.586,4841442.799
4156451,2017,1960,2025,PRIVATE,01,Etobicoke North,25 BERGAMOT AVE,4,73,2025-07-22,86,86,0,41,3,3,N/A,N/A,3,1,3,1,3,3,N/A,N/A,3,3,2,3,3,N/A,3,3,3,N/A,N/A,1,1,3,N/A,N/A,3,2,2,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,W0130,43.716209724,-79.557077624,300184.917,4841586.092
4156451,2017,1960,2023,PRIVATE,01,Etobicoke North,25 BERGAMOT AVE,4,73,2023-07-07,91,91,0,40,3,3,N/A,N/A,3,3,3,3,3,2,N/A,N/A,3,3,3,3,2,N/A,3,3,N/A,N/A,N/A,2,3,3,N/A,N/A,2,3,3,3,3,2,2,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,W0130,43.716209724,-79.557077624,300184.917,4841586.092
4155995,2017,1960,2023,PRIVATE,01,Etobicoke North,27 BERGAMOT AVE,7,130,2023-07-07,90,90,0,42,3,2,N/A,N/A,3,2,3,3,2,3,N/A,N/A,3,3,3,3,2,N/A,3,3,N/A,N/A,N/A,2,3,3,3,3,2,3,3,3,3,2,2,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,W0130,43.715262532,-79.556650611,300219.248,4841480.861
4155995,2017,1960,2025,PRIVATE,01,Etobicoke North,27 BERGAMOT AVE,7,130,2025-07-22,91,92,-1,44,3,3,3,N/A,3,2,3,1,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,W0130,43.715262532,-79.556650611,300219.248,4841480.861
4269261,2018,2007,2024,SOCIAL HOUSING,01,Etobicoke North,68 BERGAMOT AVE,4,68,2024-09-10,87,87,0,43,3,3,3,3,3,3,N/A,1,2,2,N/A,N/A,3,3,2,3,2,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,1,1,3,3,3,3,3,2,3,3,3,3,2,3,3,2,1,3,1,1,3,3,W0130,43.716943462,-79.557813582,300125.675,4841667.635
4264094,2017,2013,2023,PRIVATE,13,Toronto Centre,132 BERKELEY ST,10,177,2023-08-28,99,99,0,44,3,3,3,N/A,3,3,3,3,N/A,3,N/A,N/A,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1335,43.654807461,-79.365773301,315593.156,4834753.59
4264094,2017,2013,2025,PRIVATE,13,Toronto Centre,132 BERKELEY ST,10,177,2025-11-18,100,100,0,45,3,3,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1335,43.654807461,-79.365773301,315593.156,4834753.59
4153234,2017,1966,2024,PRIVATE,11,University-Rosedale,88 BERNARD AVE,11,82,2024-08-20,94,94,0,43,3,3,3,N/A,3,1,1,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,3,3,3,N/A,3,2,1,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1127,43.673266415,-79.401942382,312691.256,4836818.126
4156652,2017,1954,2024,PRIVATE,03,Etobicoke-Lakeshore,134 BERRY RD,4,22,2024-07-22,92,92,0,38,3,3,3,N/A,N/A,2,2,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,3,1,N/A,3,N/A,3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,W0327,43.6381743577,-79.485853087,,
4156653,2017,1954,2023,PRIVATE,03,Etobicoke-Lakeshore,136 BERRY RD,4,22,2023-10-27,84,84,0,38,3,3,2,N/A,3,2,2,3,2,2,N/A,N/A,3,2,3,3,3,N/A,3,1,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,W0327,43.638316046,-79.486336628,,
4156653,2017,1954,2025,PRIVATE,03,Etobicoke-Lakeshore,136 BERRY RD,4,22,2025-11-25,94,94,0,39,3,3,3,N/A,3,1,1,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0327,43.638316046,-79.486336628,,
4156650,2017,1954,2024,PRIVATE,03,Etobicoke-Lakeshore,138 BERRY RD,4,22,2024-07-22,88,88,0,37,3,3,3,N/A,N/A,2,1,3,3,1,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,1,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,W0327,43.63802951,-79.486511692,,
4155248,2017,1940,2024,PRIVATE,03,Etobicoke-Lakeshore,140 BERRY RD,4,14,2024-08-02,90,90,0,37,3,2,N/A,N/A,N/A,2,3,3,2,3,N/A,N/A,3,3,3,3,2,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,2,3,1,2,3,3,3,2,1,3,3,3,3,3,3,W0327,43.637866624,-79.486869694,305849.948,4832879.26
4155278,2017,1950,2024,PRIVATE,03,Etobicoke-Lakeshore,158 BERRY RD,4,30,2024-08-30,85,85,0,40,3,2,2,3,3,1,3,3,2,3,N/A,N/A,3,3,3,3,2,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,1,3,3,N/A,3,N/A,1,1,3,1,2,3,3,3,2,3,3,3,3,1,3,3,W0327,43.637258566,-79.48965433,305618.818,4832813.412
4155279,2017,1952,2023,PRIVATE,03,Etobicoke-Lakeshore,162 BERRY RD,4,39,2023-08-21,93,93,0,41,3,3,3,3,3,2,3,3,3,3,N/A,N/A,3,3,3,2,2,N/A,3,3,2,N/A,N/A,3,3,N/A,N/A,N/A,2,2,3,3,3,N/A,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,W0327,43.637114762,-79.490465663,305553.339,4832797.429
4155279,2017,1952,2025,PRIVATE,03,Etobicoke-Lakeshore,162 BERRY RD,4,39,2025-10-09,96,96,0,39,3,3,3,N/A,3,2,N/A,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0327,43.637114762,-79.490465663,305553.339,4832797.429
4155280,2017,1952,2023,PRIVATE,03,Etobicoke-Lakeshore,164 BERRY RD,3,27,2023-10-12,82,82,0,36,2,3,N/A,N/A,N/A,2,2,3,3,3,N/A,N/A,3,3,3,2,3,N/A,3,3,N/A,N/A,N/A,3,2,N/A,N/A,N/A,2,3,2,N/A,2,N/A,3,2,3,1,3,3,3,3,2,3,3,3,1,1,3,3,W0327,43.6369236012,-79.4910603874,305505.601,4832775.234
4155280,2017,1952,2025,PRIVATE,03,Etobicoke-Lakeshore,164 BERRY RD,3,27,2025-10-09,89,89,0,40,3,3,3,N/A,3,1,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,2,3,2,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,2,3,1,3,3,3,3,3,3,3,3,3,1,3,3,W0327,43.6369236012,-79.4910603874,305505.601,4832775.234
4155281,2017,1956,2024,PRIVATE,03,Etobicoke-Lakeshore,168 BERRY RD,4,22,2024-07-22,94,94,0,37,3,3,3,N/A,N/A,2,3,3,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,W0327,43.636826872,-79.491504389,305455.669,4832759.364
4155235,2017,1958,2024,PRIVATE,03,Etobicoke-Lakeshore,169 BERRY RD,4,25,2024-08-30,96,96,0,40,3,3,3,3,3,3,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,3,3,3,3,3,3,3,1,3,3,1,3,1,3,3,W0329,43.637114943,-79.487408246,305800.066,4832797.477
4168798,2017,1956,2025,PRIVATE,03,Etobicoke-Lakeshore,170 BERRY RD,4,22,2025-10-09,93,93,0,40,3,3,3,3,3,1,2,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,W0327,,,305421.0121,4832761.998
4168798,2017,1956,2023,PRIVATE,03,Etobicoke-Lakeshore,170 BERRY RD,4,22,2023-08-21,95,95,0,41,3,3,3,3,3,3,3,3,3,3,N/A,3,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,2,3,3,3,N/A,3,2,3,1,2,3,3,3,3,3,3,3,3,3,3,3,W0327,,,305421.0121,4832761.998
4155282,,1954,2023,PRIVATE,03,Etobicoke-Lakeshore,172 BERRY RD,4,32,2023-06-22,94,94,0,42,3,3,2,N/A,3,3,3,2,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,3,3,2,3,3,3,3,N/A,2,3,3,1,3,3,3,3,3,3,3,3,3,2,2,3,W0327,43.636679641,-79.492405423,305388.388,4832756.94
4155282,,1954,2025,PRIVATE,03,Etobicoke-Lakeshore,172 BERRY RD,4,32,2025-09-15,95,95,0,44,3,3,3,3,3,2,3,3,2,2,N/A,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,3,3,3,3,3,3,3,N/A,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,W0327,43.636679641,-79.492405423,305388.388,4832756.94
4356727,2018,1952,2024,PRIVATE,03,Etobicoke-Lakeshore,176 BERRY RD,4,29,2024-08-12,90,91,-1,40,3,3,N/A,N/A,N/A,3,3,2,3,3,N/A,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,3,3,3,3,3,N/A,3,N/A,3,2,2,1,2,3,3,3,3,3,3,1,3,1,3,1,W0327,43.636561238,-79.493053522,305320.673,4832716.888
4155245,2017,1965,2025,PRIVATE,03,Etobicoke-Lakeshore,177 BERRY RD,4,23,2025-09-17,92,92,0,40,3,3,3,N/A,3,1,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,1,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,W0329,43.636813398,-79.489212571,305654.469,4832763.96
4155245,2017,1965,2023,PRIVATE,03,Etobicoke-Lakeshore,177 BERRY RD,4,23,2023-07-21,94,94,0,41,2,3,3,3,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,W0329,43.636813398,-79.489212571,305654.469,4832763.96
4155244,2017,1953,2024,PRIVATE,03,Etobicoke-Lakeshore,179 BERRY RD,4,23,2024-07-17,94,94,0,39,3,3,3,N/A,3,3,3,3,3,3,N/A,N/A,3,2,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,3,3,1,2,3,3,3,2,3,3,3,3,3,3,3,W0329,43.636635662,-79.489941287,305595.659,4832744.208
4155241,2022,1954,2024,PRIVATE,03,Etobicoke-Lakeshore,183 BERRY RD,4,50,2024-08-07,94,94,0,38,3,3,N/A,N/A,N/A,3,3,2,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,2,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,2,3,2,3,3,3,3,3,1,3,1,3,3,W0329,43.636390118,-79.4911570627,305497.797,4832715.966
4152794,2017,1970,2024,TCHC,20,Scarborough Southwest,140 ADANAC DR,16,306,2024-08-20,86,86,0,46,3,3,3,3,3,3,2,2,2,2,N/A,3,3,2,2,3,2,3,3,2,N/A,N/A,3,3,3,3,3,2,2,2,3,N/A,3,2,1,2,3,3,2,1,1,3,2,3,3,3,3,3,3,3,E2027,43.740664525,-79.226955071,326777.047,4844337.194
4153394,2017,1980,2025,PRIVATE,13,Toronto Centre,90 ADELAIDE ST E,8,60,2025-07-31,92,92,0,42,3,3,N/A,3,3,1,N/A,3,N/A,3,N/A,N/A,3,3,3,3,3,3,3,2,N/A,N/A,N/A,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,1,3,S1334,43.651581464,-79.374057609,314943.48,4834412.106
4153394,2017,1980,2023,PRIVATE,13,Toronto Centre,90 ADELAIDE ST E,8,60,2023-06-30,98,98,0,45,3,3,3,3,3,2,3,3,3,3,N/A,N/A,3,3,3,3,3,3,3,3,N/A,N/A,N/A,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,S1334,43.651581464,-79.374057609,314943.48,4834412.106
4156748,2017,2009,2023,TCHC,13,Toronto Centre,501 ADELAIDE ST E,13,180,2023-07-29,89,89,0,45,3,3,3,3,3,2,N/A,3,3,3,N/A,N/A,3,3,2,2,2,3,3,3,N/A,N/A,2,1,3,2,3,2,2,3,3,3,3,3,2,1,3,3,2,2,3,3,3,3,3,3,3,3,3,3,S1335,43.65255869,-79.365341193,315646.432,4834521.781
4156748,2017,2009,2025,TCHC,13,Toronto Centre,501 ADELAIDE ST E,13,180,2025-11-17,90,90,0,45,3,3,3,3,3,3,N/A,3,2,3,N/A,N/A,3,1,3,1,3,3,3,2,3,N/A,N/A,2,3,2,3,2,2,3,3,3,3,3,2,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,S1335,43.65255869,-79.365341193,315646.432,4834521.781
4155766,2017,2005,2025,SOCIAL HOUSING,10,Spadina-Fort York,552 ADELAIDE ST W,5,84,2025-07-30,93,93,0,42,3,3,N/A,N/A,3,3,N/A,3,N/A,3,N/A,N/A,3,3,3,3,1,3,3,3,3,N/A,3,N/A,3,2,3,2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,S1029,43.645573462,-79.402433707,312653.459,4833740.458
4155766,2017,2005,2023,SOCIAL HOUSING,10,Spadina-Fort York,552 ADELAIDE ST W,5,84,2023-09-27,94,94,0,45,3,3,N/A,3,3,2,N/A,3,2,3,N/A,N/A,3,3,2,3,2,3,3,3,3,N/A,3,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,S1029,43.645573462,-79.402433707,312653.459,4833740.458
